obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,agent,act
400.0,400.0,400.0,0.02,0.02,0.02,0.6,0.0765,0.4527,6.683,120.185,A_ctrl,8
400.0,400.0,400.0,0.02,0.02,0.02,0.6,0.0765,0.4527,6.683,120.185,B_ctrl,8
400.0,400.0,400.0,0.02,0.02,0.02,0.6,0.0765,0.4527,6.683,120.185,C_ctrl,4
400.0,400.0,400.0,0.02,0.02,0.02,0.6,0.0765,0.4527,6.683,120.185,EMS,1
382.87128,392.2986,373.43024,0.005,0.005,0.01600925,0.62375,0.0842,0.4444,6.242,100.648,A_ctrl,8
382.87128,392.2986,373.43024,0.005,0.005,0.01600925,0.62375,0.0842,0.4444,6.242,100.648,B_ctrl,5
382.87128,392.2986,373.43024,0.005,0.005,0.01600925,0.62375,0.0842,0.4444,6.242,100.648,C_ctrl,8
382.87128,392.2986,373.43024,0.005,0.005,0.01600925,0.62375,0.0842,0.4444,6.242,100.648,EMS,1
389.2913,383.64774,379.66296,0.005,0.0112824,0.005,0.6475,0.0733,0.457,0.0,128.121,A_ctrl,8
389.2913,383.64774,379.66296,0.005,0.0112824,0.005,0.6475,0.0733,0.457,0.0,128.121,B_ctrl,8
389.2913,383.64774,379.66296,0.005,0.0112824,0.005,0.6475,0.0733,0.457,0.0,128.121,C_ctrl,3
389.2913,383.64774,379.66296,0.005,0.0112824,0.005,0.6475,0.0733,0.457,0.0,128.121,EMS,5
395.91312,381.00708,379.37796,0.005,0.005,0.01265605,0.6387281,0.078,0.4511,1.82,131.87,A_ctrl,8
395.91312,381.00708,379.37796,0.005,0.005,0.01265605,0.6387281,0.078,0.4511,1.82,131.87,B_ctrl,8
395.91312,381.00708,379.37796,0.005,0.005,0.01265605,0.6387281,0.078,0.4511,1.82,131.87,C_ctrl,4
395.91312,381.00708,379.37796,0.005,0.005,0.01265605,0.6387281,0.078,0.4511,1.82,131.87,EMS,1
386.71658,397.88226,368.34625,0.005,0.005,0.0165935,0.6624781,0.0771,0.45,0.0,91.702,A_ctrl,8
386.71658,397.88226,368.34625,0.005,0.005,0.0165935,0.6624781,0.0771,0.45,0.0,91.702,B_ctrl,8
386.71658,397.88226,368.34625,0.005,0.005,0.0165935,0.6624781,0.0771,0.45,0.0,91.702,C_ctrl,4
386.71658,397.88226,368.34625,0.005,0.005,0.0165935,0.6624781,0.0771,0.45,0.0,91.702,EMS,1
391.16525,396.36176,363.99982,0.005,0.005,0.0145851,0.6862281,0.0798,0.4647,0.0,99.027,A_ctrl,3
391.16525,396.36176,363.99982,0.005,0.005,0.0145851,0.6862281,0.0798,0.4647,0.0,99.027,B_ctrl,8
391.16525,396.36176,363.99982,0.005,0.005,0.0145851,0.6862281,0.0798,0.4647,0.0,99.027,C_ctrl,4
391.16525,396.36176,363.99982,0.005,0.005,0.0145851,0.6862281,0.0798,0.4647,0.0,99.027,EMS,1
383.81796,400.0,389.20905,0.01120135,0.005,0.01495135,0.70997804,0.0814,0.4255,0.0,120.978,A_ctrl,8
383.81796,400.0,389.20905,0.01120135,0.005,0.01495135,0.70997804,0.0814,0.4255,0.0,120.978,B_ctrl,1
383.81796,400.0,389.20905,0.01120135,0.005,0.01495135,0.70997804,0.0814,0.4255,0.0,120.978,C_ctrl,6
383.81796,400.0,389.20905,0.01120135,0.005,0.01495135,0.70997804,0.0814,0.4255,0.0,120.978,EMS,1
393.84256,365.63657,392.05963,0.005,0.005,0.0085489,0.73372805,0.075,0.4358,0.0,115.134,A_ctrl,8
393.84256,365.63657,392.05963,0.005,0.005,0.0085489,0.73372805,0.075,0.4358,0.0,115.134,B_ctrl,8
393.84256,365.63657,392.05963,0.005,0.005,0.0085489,0.73372805,0.075,0.4358,0.0,115.134,C_ctrl,4
393.84256,365.63657,392.05963,0.005,0.005,0.0085489,0.73372805,0.075,0.4358,0.0,115.134,EMS,4
397.56546,392.11417,377.01413,0.005,0.005,0.0157567,0.73372805,0.0836,0.4381,3.578,120.286,A_ctrl,8
397.56546,392.11417,377.01413,0.005,0.005,0.0157567,0.73372805,0.0836,0.4381,3.578,120.286,B_ctrl,4
397.56546,392.11417,377.01413,0.005,0.005,0.0157567,0.73372805,0.0836,0.4381,3.578,120.286,C_ctrl,4
397.56546,392.11417,377.01413,0.005,0.005,0.0157567,0.73372805,0.0836,0.4381,3.578,120.286,EMS,1
385.04868,366.10095,385.75262,0.005,0.0160143,0.0160143,0.75747806,0.0803,0.4464,9.993,107.528,A_ctrl,8
385.04868,366.10095,385.75262,0.005,0.0160143,0.0160143,0.75747806,0.0803,0.4464,9.993,107.528,B_ctrl,8
385.04868,366.10095,385.75262,0.005,0.0160143,0.0160143,0.75747806,0.0803,0.4464,9.993,107.528,C_ctrl,4
385.04868,366.10095,385.75262,0.005,0.0160143,0.0160143,0.75747806,0.0803,0.4464,9.993,107.528,EMS,1
373.11804,387.53323,379.80945,0.005,0.005,0.0153764,0.78122807,0.0705,0.4474,0.0,133.848,A_ctrl,8
373.11804,387.53323,379.80945,0.005,0.005,0.0153764,0.78122807,0.0705,0.4474,0.0,133.848,B_ctrl,8
373.11804,387.53323,379.80945,0.005,0.005,0.0153764,0.78122807,0.0705,0.4474,0.0,133.848,C_ctrl,4
373.11804,387.53323,379.80945,0.005,0.005,0.0153764,0.78122807,0.0705,0.4474,0.0,133.848,EMS,1
392.10944,399.3237,381.177,0.005,0.005,0.0166924,0.8049781,0.0702,0.4349,0.0,133.264,A_ctrl,8
392.10944,399.3237,381.177,0.005,0.005,0.0166924,0.8049781,0.0702,0.4349,0.0,133.264,B_ctrl,8
392.10944,399.3237,381.177,0.005,0.005,0.0166924,0.8049781,0.0702,0.4349,0.0,133.264,C_ctrl,4
392.10944,399.3237,381.177,0.005,0.005,0.0166924,0.8049781,0.0702,0.4349,0.0,133.264,EMS,1
383.015,391.1722,363.2544,0.005,0.005,0.0166632,0.8287281,0.0799,0.4401,1.187,125.621,A_ctrl,8
383.015,391.1722,363.2544,0.005,0.005,0.0166632,0.8287281,0.0799,0.4401,1.187,125.621,B_ctrl,3
383.015,391.1722,363.2544,0.005,0.005,0.0166632,0.8287281,0.0799,0.4401,1.187,125.621,C_ctrl,4
383.015,391.1722,363.2544,0.005,0.005,0.0166632,0.8287281,0.0799,0.4401,1.187,125.621,EMS,4
398.3153,370.624,369.48572,0.005,0.01253105,0.01628105,0.8287281,0.0789,0.4414,8.067,138.269,A_ctrl,8
398.3153,370.624,369.48572,0.005,0.01253105,0.01628105,0.8287281,0.0789,0.4414,8.067,138.269,B_ctrl,8
398.3153,370.624,369.48572,0.005,0.01253105,0.01628105,0.8287281,0.0789,0.4414,8.067,138.269,C_ctrl,4
398.3153,370.624,369.48572,0.005,0.01253105,0.01628105,0.8287281,0.0789,0.4414,8.067,138.269,EMS,1
379.23373,383.85532,369.20392,0.005,0.005,0.01691345,0.8524781,0.0795,0.4745,0.0,130.235,A_ctrl,8
379.23373,383.85532,369.20392,0.005,0.005,0.01691345,0.8524781,0.0795,0.4745,0.0,130.235,B_ctrl,8
379.23373,383.85532,369.20392,0.005,0.005,0.01691345,0.8524781,0.0795,0.4745,0.0,130.235,C_ctrl,4
379.23373,383.85532,369.20392,0.005,0.005,0.01691345,0.8524781,0.0795,0.4745,0.0,130.235,EMS,1
400.0,380.20755,374.21387,0.005,0.005,0.01651175,0.8762281,0.0799,0.468,1.259,108.688,A_ctrl,8
400.0,380.20755,374.21387,0.005,0.005,0.01651175,0.8762281,0.0799,0.468,1.259,108.688,B_ctrl,8
400.0,380.20755,374.21387,0.005,0.005,0.01651175,0.8762281,0.0799,0.468,1.259,108.688,C_ctrl,4
400.0,380.20755,374.21387,0.005,0.005,0.01651175,0.8762281,0.0799,0.468,1.259,108.688,EMS,1
390.4868,390.4886,378.70517,0.005,0.005,0.0154344,0.89997804,0.0811,0.4458,9.123,127.14,A_ctrl,8
390.4868,390.4886,378.70517,0.005,0.005,0.0154344,0.89997804,0.0811,0.4458,9.123,127.14,B_ctrl,5
390.4868,390.4886,378.70517,0.005,0.005,0.0154344,0.89997804,0.0811,0.4458,9.123,127.14,C_ctrl,4
390.4868,390.4886,378.70517,0.005,0.005,0.0154344,0.89997804,0.0811,0.4458,9.123,127.14,EMS,1
382.71948,372.90475,367.6747,0.005,0.012607,0.016357,0.92372805,0.0847,0.4463,0.0,107.207,A_ctrl,8
382.71948,372.90475,367.6747,0.005,0.012607,0.016357,0.92372805,0.0847,0.4463,0.0,107.207,B_ctrl,8
382.71948,372.90475,367.6747,0.005,0.012607,0.016357,0.92372805,0.0847,0.4463,0.0,107.207,C_ctrl,4
382.71948,372.90475,367.6747,0.005,0.012607,0.016357,0.92372805,0.0847,0.4463,0.0,107.207,EMS,1
378.6532,392.28906,386.43362,0.005,0.005,0.01536035,0.94747806,0.0744,0.4385,0.0,134.7,A_ctrl,8
378.6532,392.28906,386.43362,0.005,0.005,0.01536035,0.94747806,0.0744,0.4385,0.0,134.7,B_ctrl,8
378.6532,392.28906,386.43362,0.005,0.005,0.01536035,0.94747806,0.0744,0.4385,0.0,134.7,C_ctrl,4
378.6532,392.28906,386.43362,0.005,0.005,0.01536035,0.94747806,0.0744,0.4385,0.0,134.7,EMS,2
380.71533,380.59106,370.52814,0.005,0.005,0.016735,0.9633114,0.0741,0.4309,0.0,123.258,A_ctrl,8
380.71533,380.59106,370.52814,0.005,0.005,0.016735,0.9633114,0.0741,0.4309,0.0,123.258,B_ctrl,8
380.71533,380.59106,370.52814,0.005,0.005,0.016735,0.9633114,0.0741,0.4309,0.0,123.258,C_ctrl,4
380.71533,380.59106,370.52814,0.005,0.005,0.016735,0.9633114,0.0741,0.4309,0.0,123.258,EMS,1
383.66327,375.85825,386.26926,0.005,0.005,0.0161629,0.9870614,0.0745,0.4488,0.0,119.638,A_ctrl,8
383.66327,375.85825,386.26926,0.005,0.005,0.0161629,0.9870614,0.0745,0.4488,0.0,119.638,B_ctrl,8
383.66327,375.85825,386.26926,0.005,0.005,0.0161629,0.9870614,0.0745,0.4488,0.0,119.638,C_ctrl,5
383.66327,375.85825,386.26926,0.005,0.005,0.0161629,0.9870614,0.0745,0.4488,0.0,119.638,EMS,2
391.5844,382.37885,381.44977,0.005,0.005,0.0122319,1.0,0.0814,0.4399,4.092,114.291,A_ctrl,8
391.5844,382.37885,381.44977,0.005,0.005,0.0122319,1.0,0.0814,0.4399,4.092,114.291,B_ctrl,8
391.5844,382.37885,381.44977,0.005,0.005,0.0122319,1.0,0.0814,0.4399,4.092,114.291,C_ctrl,4
391.5844,382.37885,381.44977,0.005,0.005,0.0122319,1.0,0.0814,0.4399,4.092,114.291,EMS,1
385.63416,387.4487,380.0535,0.005,0.005,0.01571455,1.0,0.0862,0.4491,1.241,141.486,A_ctrl,7
385.63416,387.4487,380.0535,0.005,0.005,0.01571455,1.0,0.0862,0.4491,1.241,141.486,B_ctrl,1
385.63416,387.4487,380.0535,0.005,0.005,0.01571455,1.0,0.0862,0.4491,1.241,141.486,C_ctrl,4
385.63416,387.4487,380.0535,0.005,0.005,0.01571455,1.0,0.0862,0.4491,1.241,141.486,EMS,0
388.3265,374.85898,385.33408,0.0058243,0.0058243,0.0170743,1.0,0.0778,0.4339,0.0,119.069,A_ctrl,8
388.3265,374.85898,385.33408,0.0058243,0.0058243,0.0170743,1.0,0.0778,0.4339,0.0,119.069,B_ctrl,8
388.3265,374.85898,385.33408,0.0058243,0.0058243,0.0170743,1.0,0.0778,0.4339,0.0,119.069,C_ctrl,4
388.3265,374.85898,385.33408,0.0058243,0.0058243,0.0170743,1.0,0.0778,0.4339,0.0,119.069,EMS,1
386.19534,384.1882,376.98297,0.005,0.005,0.01595345,1.0,0.0675,0.4423,2.619,117.251,A_ctrl,8
386.19534,384.1882,376.98297,0.005,0.005,0.01595345,1.0,0.0675,0.4423,2.619,117.251,B_ctrl,8
386.19534,384.1882,376.98297,0.005,0.005,0.01595345,1.0,0.0675,0.4423,2.619,117.251,C_ctrl,4
386.19534,384.1882,376.98297,0.005,0.005,0.01595345,1.0,0.0675,0.4423,2.619,117.251,EMS,1
389.57654,382.67603,371.586,0.005,0.005,0.01586255,1.0,0.0715,0.4514,0.0,115.432,A_ctrl,8
389.57654,382.67603,371.586,0.005,0.005,0.01586255,1.0,0.0715,0.4514,0.0,115.432,B_ctrl,8
389.57654,382.67603,371.586,0.005,0.005,0.01586255,1.0,0.0715,0.4514,0.0,115.432,C_ctrl,4
389.57654,382.67603,371.586,0.005,0.005,0.01586255,1.0,0.0715,0.4514,0.0,115.432,EMS,1
395.4198,400.0,375.1016,0.005,0.005,0.0157716,1.0,0.0758,0.4535,6.424,129.095,A_ctrl,8
395.4198,400.0,375.1016,0.005,0.005,0.0157716,1.0,0.0758,0.4535,6.424,129.095,B_ctrl,8
395.4198,400.0,375.1016,0.005,0.005,0.0157716,1.0,0.0758,0.4535,6.424,129.095,C_ctrl,4
395.4198,400.0,375.1016,0.005,0.005,0.0157716,1.0,0.0758,0.4535,6.424,129.095,EMS,4
380.99728,383.91403,366.21994,0.005,0.005,0.01645475,1.0,0.0772,0.454,0.0,124.53,A_ctrl,8
380.99728,383.91403,366.21994,0.005,0.005,0.01645475,1.0,0.0772,0.454,0.0,124.53,B_ctrl,8
380.99728,383.91403,366.21994,0.005,0.005,0.01645475,1.0,0.0772,0.454,0.0,124.53,C_ctrl,4
380.99728,383.91403,366.21994,0.005,0.005,0.01645475,1.0,0.0772,0.454,0.0,124.53,EMS,1
384.911,390.47354,374.44327,0.005,0.005,0.0162265,1.0,0.078,0.4366,0.0,124.946,A_ctrl,8
384.911,390.47354,374.44327,0.005,0.005,0.0162265,1.0,0.078,0.4366,0.0,124.946,B_ctrl,8
384.911,390.47354,374.44327,0.005,0.005,0.0162265,1.0,0.078,0.4366,0.0,124.946,C_ctrl,8
384.911,390.47354,374.44327,0.005,0.005,0.0162265,1.0,0.078,0.4366,0.0,124.946,EMS,4
396.88742,388.2179,390.85974,0.005,0.005,0.005,1.0,0.0802,0.4584,2.779,124.643,A_ctrl,8
396.88742,388.2179,390.85974,0.005,0.005,0.005,1.0,0.0802,0.4584,2.779,124.643,B_ctrl,8
396.88742,388.2179,390.85974,0.005,0.005,0.005,1.0,0.0802,0.4584,2.779,124.643,C_ctrl,4
396.88742,388.2179,390.85974,0.005,0.005,0.005,1.0,0.0802,0.4584,2.779,124.643,EMS,5
385.88135,397.59674,365.29263,0.005,0.005,0.01623215,0.99122804,0.0784,0.4418,3.896,151.83,A_ctrl,8
385.88135,397.59674,365.29263,0.005,0.005,0.01623215,0.99122804,0.0784,0.4418,3.896,151.83,B_ctrl,2
385.88135,397.59674,365.29263,0.005,0.005,0.01623215,0.99122804,0.0784,0.4418,3.896,151.83,C_ctrl,4
385.88135,397.59674,365.29263,0.005,0.005,0.01623215,0.99122804,0.0784,0.4418,3.896,151.83,EMS,1
379.20526,354.24448,376.2442,0.005,0.0100915,0.0175915,1.0,0.0852,0.4561,2.331,111.169,A_ctrl,8
379.20526,354.24448,376.2442,0.005,0.0100915,0.0175915,1.0,0.0852,0.4561,2.331,111.169,B_ctrl,8
379.20526,354.24448,376.2442,0.005,0.0100915,0.0175915,1.0,0.0852,0.4561,2.331,111.169,C_ctrl,4
379.20526,354.24448,376.2442,0.005,0.0100915,0.0175915,1.0,0.0852,0.4561,2.331,111.169,EMS,1
396.5688,385.64005,391.0311,0.005,0.005,0.01555845,1.0,0.0766,0.4496,0.0,110.685,A_ctrl,8
396.5688,385.64005,391.0311,0.005,0.005,0.01555845,1.0,0.0766,0.4496,0.0,110.685,B_ctrl,8
396.5688,385.64005,391.0311,0.005,0.005,0.01555845,1.0,0.0766,0.4496,0.0,110.685,C_ctrl,4
396.5688,385.64005,391.0311,0.005,0.005,0.01555845,1.0,0.0766,0.4496,0.0,110.685,EMS,1
387.4849,378.796,375.61337,0.005,0.005,0.01553425,1.0,0.0757,0.436,2.803,104.135,A_ctrl,1
387.4849,378.796,375.61337,0.005,0.005,0.01553425,1.0,0.0757,0.436,2.803,104.135,B_ctrl,8
387.4849,378.796,375.61337,0.005,0.005,0.01553425,1.0,0.0757,0.436,2.803,104.135,C_ctrl,4
387.4849,378.796,375.61337,0.005,0.005,0.01553425,1.0,0.0757,0.436,2.803,104.135,EMS,5
373.05316,389.29785,397.29715,0.005,0.005,0.01520675,0.99122804,0.0824,0.4465,0.0,127.469,A_ctrl,8
373.05316,389.29785,397.29715,0.005,0.005,0.01520675,0.99122804,0.0824,0.4465,0.0,127.469,B_ctrl,8
373.05316,389.29785,397.29715,0.005,0.005,0.01520675,0.99122804,0.0824,0.4465,0.0,127.469,C_ctrl,4
373.05316,389.29785,397.29715,0.005,0.005,0.01520675,0.99122804,0.0824,0.4465,0.0,127.469,EMS,2
393.3493,400.0,385.5933,0.005,0.005,0.01637345,1.0,0.0723,0.4533,1.315,133.882,A_ctrl,8
393.3493,400.0,385.5933,0.005,0.005,0.01637345,1.0,0.0723,0.4533,1.315,133.882,B_ctrl,8
393.3493,400.0,385.5933,0.005,0.005,0.01637345,1.0,0.0723,0.4533,1.315,133.882,C_ctrl,4
